# ClassName	Offset	Value	Hex	Type	SourceFile	Context
Unknown	0x24	0.1	0x3dcccccd3dcccccd	hex_float	0145f790.c	ined4 *)(pcVar19 + 0x1c) = uVar5;       *(undefined8 *)(pcVar19 + 0x24) = 0x3dcccccd3dcccccd;       local_70 = '\
Unknown	0x24	0.1	0x3dcccccd3dcccccd	hex_float	0145f790.c	ined4 *)(pcVar19 + 0x1c) = uVar5;       *(undefined8 *)(pcVar19 + 0x24) = 0x3dcccccd3dcccccd;       local_70 = '\
Unknown	0x24	0.1	0x3dcccccd3dcccccd	hex_float	0145f790.c	ined4 *)(pcVar19 + 0x1c) = uVar5;       *(undefined8 *)(pcVar19 + 0x24) = 0x3dcccccd3dcccccd;       local_70 = '\
Unknown	0x28	1	0x3f800000	hex_float	0120d5e0.c	;                   }                   *(undefined4 *)(lVar71 + 0x28) = 0x3f800000;                   *
Unknown	0x2c	1	0x3f800000	hex_float	0120b150.c	ar51 <= (int)uVar65)) {                 *(undefined4 *)(lVar75 + 0x2c) = 0x3f800000;                 lVa
Unknown	0x43	0.2	0x3e4ccccd	hex_float	0198e770.c	longlong)unaff_RDI + 0x2f4) = iVar12;   *(undefined4 *)(unaff_RDI + 0x43) = 0x3e4ccccd;   lVar4 = CONCAT44(
Unknown	0x51c	1	0x3f800000	hex_float	0198e770.c	fined4 *)(unaff_RDI + 0x6b) = uVar13;   *(undefined4 *)((longlong)unaff_RDI + 0x51c) = 0x3f800000;   *(undefined4 *)((
Unknown	0x79	1	0x3f800000	hex_float	0198e770.c	(undefined4 *)(unaff_RDI + 0x4e) = 0;   *(undefined4 *)(unaff_RDI + 0x79) = 0x3f800000;   *(undefined4 *)(u
Unknown	0xc	-8.3093719	0x40cb5760c104f330	hex_float	0176a9c0.c	___bzero();   lVar35 = plVar16[2];   *(undefined8 *)(lVar35 + 0xc) = 0x40cb5760c104f330;   *(undefined8 *)(l
Unknown	0xc	1	0x3f8000003f800000	hex_float	0176a9c0.c	= plVar17[2];   pVar33 = 0x3f800000;   *(undefined8 *)(lVar35 + 0xc) = 0x3f8000003f800000;   *(undefined8 *)(l
