00013ad0	_C869701EF43D
00ef2fd6	_ZSTD_checkCParams
00ef311b	_ZSTD_cParam_getBounds
00ef3360	_ZSTD_minCLevel
00ef336b	_ZSTD_maxCLevel
00ef3376	_ZSTD_CCtx_setParameter
00ef3425	_ZSTD_CCtxParams_setParameter
00ef3908	_ZSTD_CCtx_getParameter
00ef3916	_ZSTD_CCtxParams_getParameter
00ef3b3c	_ZSTD_CCtx_setParametersUsingCCtxParams
00ef3b6c	_ZSTD_CCtx_setCParams
00ef3c3b	_ZSTD_CCtx_setFParams
00ef3c73	_ZSTD_CCtx_setParams
00ef3d02	_ZSTD_CCtx_setPledgedSrcSize
00ef3d24	_ZSTD_CCtx_loadDictionary_advanced
00ef3e55	_ZSTD_CCtx_loadDictionary_byReference
00ef3e67	_ZSTD_CCtx_loadDictionary
00ef3e76	_ZSTD_CCtx_refCDict
00ef3f06	_ZSTD_CCtx_refThreadPool
00ef3f25	_ZSTD_CCtx_refPrefix
00ef3f34	_ZSTD_CCtx_refPrefix_advanced
00ef3ff1	_ZSTD_CCtx_reset
00ef40ff	_ZSTD_cycleLog
00ef410d	_ZSTD_adjustCParams
00ef439f	_ZSTD_getCParamsFromCCtxParams
00ef45a7	_ZSTD_estimateCCtxSize_usingCCtxParams
00ef47c4	_ZSTD_estimateCCtxSize_usingCParams
00ef49a9	_ZSTD_estimateCCtxSize
00ef4a58	_ZSTD_estimateCStreamSize_usingCCtxParams
00ef4b70	_ZSTD_estimateCStreamSize_usingCParams
00ef4bf7	_ZSTD_estimateCStreamSize
00ef4c67	_ZSTD_getFrameProgression
00ef4cb4	_ZSTD_toFlushNow
00ef4cbc	_ZSTD_reset_compressedBlockState
00ef4cf5	_ZSTD_invalidateRepCodes
00ef4d17	_ZSTD_copyCCtx
00ef4f65	_ZSTD_seqToCodes
00ef5020	_ZSTD_selectBlockCompressor
00ef506b	_ZSTD_resetSeqStore
00ef5087	_ZSTD_sequenceBound
00ef50a4	_ZSTD_generateSequences
00ef5179	_ZSTD_compress2
00ef520b	_ZSTD_mergeBlockDelimiters
00ef5250	_ZSTD_buildBlockEntropyStats
00ef55f7	_ZSTD_writeSkippableFrame
00ef5650	_ZSTD_writeLastEmptyBlock
00ef5671	_ZSTD_referenceExternalSequences
00ef56b4	_ZSTD_compressContinue_public
00ef61a5	_ZSTD_compressContinue
00ef61c5	_ZSTD_getBlockSize
00ef61e7	_ZSTD_compressBlock_deprecated
00ef6234	_ZSTD_compressBlock
00ef6281	_ZSTD_loadCEntropy
00ef660e	_ZSTD_compressBegin_advanced_internal
00ef6bb1	_ZSTD_compressBegin_advanced
00ef6c12	_ZSTD_compressBegin_usingDict
00ef6dac	_ZSTD_compressBegin
00ef6dbc	_ZSTD_CCtx_trace
00ef6dc2	_ZSTD_compressEnd_public
00ef6ee8	_ZSTD_compressEnd
00ef6ef2	_ZSTD_compress_advanced
00ef6f80	_ZSTD_compress_advanced_internal
00ef6ff7	_ZSTD_compress_usingDict
00ef709a	_ZSTD_compressCCtx
00ef70b2	_ZSTD_compress
00ef715f	_ZSTD_estimateCDictSize_advanced
00ef726b	_ZSTD_estimateCDictSize
00ef72df	_ZSTD_sizeof_CDict
00ef7306	_ZSTD_createCDict_advanced
00ef73ba	_ZSTD_createCDict_advanced2
00ef7846	_ZSTD_freeCDict
00ef78e5	_ZSTD_createCDict
00ef79e4	_ZSTD_createCDict_byReference
00ef7ae6	_ZSTD_initStaticCDict
00ef7c9f	_ZSTD_getCParamsFromCDict
00ef7cbd	_ZSTD_getDictID_fromCDict
00ef7cd1	_ZSTD_compressBegin_usingCDict_advanced
00ef7f17	_ZSTD_compressBegin_usingCDict_deprecated
00ef7f2c	_ZSTD_compressBegin_usingCDict
00ef7f41	_ZSTD_compress_usingCDict_advanced
00ef7fae	_ZSTD_compress_usingCDict
00ef7fcd	_ZSTD_createCStream
00ef7ff0	_ZSTD_createCStream_advanced
00ef7ffa	_ZSTD_initStaticCStream
00ef8004	_ZSTD_freeCStream
00ef800e	_ZSTD_CStreamInSize
00ef8019	_ZSTD_CStreamOutSize
00ef8024	_ZSTD_resetCStream
00ef8048	_ZSTD_initCStream_internal
00ef80bd	_ZSTD_initCStream_usingCDict_advanced
00ef80ed	_ZSTD_initCStream_usingCDict
00ef811a	_ZSTD_initCStream_advanced
00ef81e7	_ZSTD_initCStream_usingDict
00ef8242	_ZSTD_initCStream_srcSize
00ef82db	_ZSTD_initCStream
00ef834a	_ZSTD_compressStream
00ef8397	_ZSTD_compressStream2
00ef8e04	_ZSTD_compressStream2_simpleArgs
00ef8e69	_ZSTD_copySequencesToSeqStoreExplicitBlockDelim
00ef92f0	_ZSTD_copySequencesToSeqStoreNoBlockDelim
00ef97fb	_ZSTD_compressSequences
00ef9f09	_ZSTD_flushStream
00ef9f5b	_ZSTD_endStream
00ef9fe8	_ZSTD_defaultCLevel
00ef9ff3	_ZSTD_getCParams
00efa01d	_ZSTD_getParams
00efa056	_ZSTD_registerSequenceProducer
00efd6f4	_FSE_buildCTable_wksp
00efd9b7	_FSE_NCountWriteBound
00efd9d6	_FSE_writeNCount
00efdc79	_FSE_optimalTableLog_internal
00efdcc8	_FSE_optimalTableLog
00efdd1b	_FSE_normalizeCount
00efe030	_FSE_buildCTable_rle
00efe053	_FSE_compress_usingCTable
00efe471	_FSE_compressBound
00efe488	_HUF_readDTableX1_wksp
00efe900	_HUF_readDTableX2_wksp
